step,sim_time,force_z,x_def_x,x_def_y,x_def_z
1,0.0200,-36.6146,0.000000,0.000000,0.000000
2,0.0400,-40.2884,-0.000552,0.000901,-0.009660
3,0.0600,-43.8033,-0.001356,0.002333,-0.027253
4,0.0800,-47.1453,-0.000431,0.001373,-0.044707
5,0.1000,-50.3012,0.001116,-0.001677,-0.059748
6,0.1200,-53.2586,0.000424,-0.002946,-0.072294
7,0.1400,-56.0059,-0.000620,-0.003256,-0.082782
8,0.1600,-58.5321,-0.002330,-0.003094,-0.091590
9,0.1800,-60.8272,-0.006748,-0.000579,-0.098694
10,0.2000,-62.8824,-0.014359,0.005611,-0.103430
11,0.2200,-64.6894,-0.019767,0.011986,-0.107746
12,0.2400,-66.2410,-0.020253,0.016848,-0.112598
13,0.2600,-67.5313,-0.018788,0.020702,-0.117250
14,0.2800,-68.5550,-0.019479,0.024053,-0.120915
15,0.3000,-69.3082,-0.024944,0.027441,-0.122582
16,0.3200,-69.7878,-0.032206,0.028654,-0.123543
17,0.3400,-69.9921,-0.036283,0.025071,-0.125633
18,0.3600,-69.9201,-0.036443,0.017543,-0.128483
19,0.3800,-69.5721,-0.035035,0.008745,-0.130949
20,0.4000,-68.9496,-0.033851,0.001217,-0.132551
21,0.4200,-68.0550,-0.032299,-0.004414,-0.133458
22,0.4400,-66.8918,-0.031242,-0.007485,-0.133625
23,0.4600,-65.4646,-0.029914,-0.009344,-0.133187
24,0.4800,-63.7791,-0.026290,-0.012826,-0.132110
25,0.5000,-61.8418,-0.022074,-0.017031,-0.130325
26,0.5200,-59.6605,-0.020445,-0.018833,-0.127931
27,0.5400,-57.2437,-0.020927,-0.018224,-0.125006
28,0.5600,-54.6010,-0.020421,-0.017492,-0.121715
29,0.5800,-51.7428,-0.018165,-0.017371,-0.118058
30,0.6000,-48.6805,-0.016913,-0.016384,-0.113848
31,0.6200,-45.4260,-0.018425,-0.013469,-0.108771
32,0.6400,-41.9922,-0.020817,-0.010188,-0.103058
33,0.6600,-38.3927,-0.021819,-0.008640,-0.097117
34,0.6800,-34.6417,-0.021842,-0.008023,-0.090907
35,0.7000,-30.7540,-0.021394,-0.007236,-0.084406
36,0.7200,-26.7448,-0.019386,-0.007558,-0.077701
37,0.7400,-22.6302,-0.016582,-0.008537,-0.070752
38,0.7600,-18.4262,-0.013878,-0.009214,-0.063514
39,0.7800,-14.1495,-0.011000,-0.009624,-0.055993
40,0.8000,-9.8170,-0.008349,-0.009515,-0.048243
41,0.8200,-5.4457,-0.006527,-0.008636,-0.040301
42,0.8400,-1.0530,-0.005268,-0.007213,-0.032196
43,0.8600,3.3439,-0.004052,-0.005508,-0.023992
44,0.8800,7.7276,-0.002601,-0.003727,-0.015741
45,0.9000,12.0809,-0.001057,-0.001872,-0.007442
46,0.9200,16.3864,0.000390,0.000053,0.000908
47,0.9400,20.6273,0.002032,0.001764,0.009264
48,0.9600,24.7867,0.004353,0.002863,0.017514
49,0.9800,28.8484,0.007069,0.003340,0.025670
50,1.0000,32.7962,0.010374,0.002690,0.033552
51,1.0200,36.6146,0.013693,0.000942,0.041268
52,1.0400,40.2884,0.016059,-0.001173,0.049077
53,1.0600,43.8033,0.018567,-0.003762,0.056517
54,1.0800,47.1453,0.021583,-0.006730,0.063436
55,1.1000,50.3012,0.025508,-0.009658,0.069644
56,1.1200,53.2586,0.030899,-0.012052,0.074870
57,1.1400,56.0059,0.037065,-0.014096,0.079309
58,1.1600,58.5321,0.042514,-0.015649,0.083754
59,1.1800,60.8273,0.046768,-0.016451,0.088498
60,1.2000,62.8824,0.049796,-0.016057,0.093571
61,1.2200,64.6894,0.049906,-0.013024,0.099619
62,1.2400,66.2410,0.046218,-0.007139,0.106442
63,1.2600,67.5313,0.038638,0.000932,0.113072
64,1.2800,68.5550,0.029287,0.009409,0.118810
65,1.3000,69.3082,0.020368,0.016841,0.123410
66,1.3200,69.7878,0.016348,0.020710,0.127114
67,1.3400,69.9921,0.014553,0.023565,0.129912
68,1.3600,69.9201,0.008704,0.028941,0.131005
69,1.3800,69.5721,-0.001174,0.033911,0.130911
70,1.4000,68.9496,-0.011427,0.035575,0.130725
71,1.4200,68.0550,-0.019080,0.034113,0.130867
72,1.4400,66.8918,-0.023806,0.032075,0.130845
73,1.4600,65.4646,-0.026241,0.031521,0.130115
74,1.4800,63.7791,-0.026589,0.032117,0.128766
75,1.5000,61.8418,-0.024856,0.032621,0.127124
76,1.5200,59.6605,-0.023754,0.033793,0.124487
77,1.5400,57.2437,-0.020909,0.032721,0.121929
78,1.5600,54.6010,-0.014991,0.028029,0.119795
79,1.5800,51.7429,-0.008343,0.022254,0.117204
80,1.6000,48.6805,-0.001761,0.016921,0.113731
81,1.6200,45.4260,0.004199,0.012430,0.109355
82,1.6400,41.9922,0.009542,0.008575,0.104085
83,1.6600,38.3927,0.013403,0.005480,0.098249
84,1.6800,34.6417,0.014863,0.003089,0.092186
85,1.7000,30.7540,0.013978,0.001225,0.085953
86,1.7200,26.7449,0.011363,0.000165,0.079469
87,1.7400,22.6302,0.007978,-0.000247,0.072623
88,1.7600,18.4262,0.004503,-0.000162,0.065359
89,1.7800,14.1495,0.001081,0.000483,0.057617
90,1.8000,9.8170,-0.001821,0.001247,0.049487
91,1.8200,5.4458,-0.003634,0.001740,0.041160
92,1.8400,1.0530,-0.004123,0.001795,0.032806
93,1.8600,-3.3439,-0.003608,0.001503,0.024438
94,1.8800,-7.7277,-0.002456,0.000992,0.016042
95,1.9000,-12.0809,-0.000909,0.000302,0.007627
96,1.9200,-16.3864,0.000519,-0.000387,-0.000878
97,1.9400,-20.6273,0.001399,-0.000964,-0.009488
98,1.9600,-24.7868,0.001905,-0.001550,-0.018116
